Date,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2021.02.16,-10,-11,-6,-11,28,22,70,0,1021,-6,10,117,14
2021.02.17,-13,-5,-4,-5,27,11,57,0,1019,-4,10,148,13
2021.02.18,-14,-8,-6,-8,27,63,74,0,1014,-7,10,108,13
2021.02.19,-14,-18,-13,-18,39,57,81,0,1014,-13,10,118,19
2021.02.22,-3,-4,0,-4,35,100,96,0.8,1017,0,10,139,17
2021.02.23,-2,-3,-1,-3,26,99,95,0.4,1016,-1,10,168,13
2021.02.24,1,-4,0,-4,29,100,98,3.8,1013,0,10,197,15
2021.02.25,2,0,2,0,25,100,100,4.2,994,2,7,312,17
2021.02.26,1,-2,1,-2,26,100,99,5.6,1019,1,3,299,13
2021.03.01,-1,-5,0,-5,51,100,98,3.3,1008,0,7,265,28
2021.03.02,0,-4,1,-4,45,100,98,2.3,1015,0,2,271,25
