Date,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2021.02.16,-13.25,-14,-9,-14,23,0,65,0,1019,-9,10,112,13
2021.02.17,-16.25,-11,-7,-11,9,5,43,0,1015,-7,10,118.75,4
2021.02.18,-20.25,-15,-11,-15,15,10,31.75,0,1012,-12.25,10,97,7
2021.02.19,-18,-24,-15.25,-24,32.75,6,77,0,1013,-16,10,96,16
2021.02.22,-8.25,-13.25,-7.25,-13.25,20.75,75.5,85,0.1,1016,-7.25,2,122.75,12
2021.02.23,-7,-8,-4,-8,12,82.75,81.75,0,1014,-4,7.75,144,7
2021.02.24,-3.25,-6,-2,-6,19.75,88.75,80,0,994,-3,5,122,12
2021.02.25,1,-3,1,-3,7.75,100,99,1.975,990,1,6,248.75,6
2021.02.26,-1.25,-5.25,-1.25,-5.25,13,100,99,0.775,998.75,-1.25,2,264,9.75
2021.03.01,-6,-12,-5,-12,35,93,89,0.975,1003,-5,2,257,22
2021.03.02,-6,-11,-5,-11,29.75,96.75,94,0.875,1010.75,-6,2,258,18.75
